Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
3,9I 733,AAS,ATR 72,1245,,,GAU,5:55,28-Oct-19,25-Dec-19
4,9I 732,AAS,ATR 72,6,GAU,12:05,,,2-Nov-19,28-Mar-20
5,9I 732,AAS,ATR 72,37,GAU,12:05,,,27-Oct-19,25-Mar-20
6,9I 751,AAS,ATR 72,6,,,IXI,12:45,2-Nov-19,28-Mar-20
7,9I 734,AAS,ATR 72,1245,GAU,13:10,,,28-Oct-19,27-Mar-20
8,9I 751,AAS,ATR 72,37,,,IXI,14:00,27-Oct-19,25-Mar-20
9,9I 751,AAS,ATR 72,1245,,,IXI,14:00,28-Oct-19,27-Mar-20
10,9I 752,AAS,ATR 72,6,IXI,17:25,,,2-Nov-19,25-Dec-19
11,9I 752,AAS,ATR 72,123457,IXI,18:45,,,27-Oct-19,25-Dec-19
12,9I 728,AAS,ATR 72,Daily,IXR,21:35,,,27-Oct-19,25-Dec-19
Bhuntar,,,,,,,,,,
1,9I 805,AAS,ATR 72,123456,DEL,8:05,,,28-Oct-19,30-Nov-19
2,9I 805,AAS,ATR 72,123456,DEL,8:05,,,2-Dec-19,15-Feb-20
3,9I 805,AAS,ATR 72,123456,DEL,8:05,,,17-Feb-20,28-Mar-20
4,9I 805,AAS,ATR 72,7,DEL,8:05,,,27-Oct-19,24-Nov-19
5,9I 805,AAS,ATR 72,7,DEL,8:05,,,1-Dec-19,9-Feb-20
6,9I 805,AAS,ATR 72,7,DEL,8:05,,,16-Feb-20,22-Mar-20
7,9I 806,AAS,ATR 72,7,,,DEL,8:30,27-Oct-19,24-Nov-19
8,9I 806,AAS,ATR 72,7,,,DEL,8:30,1-Dec-19,9-Feb-20
9,9I 806,AAS,ATR 72,7,,,DEL,8:30,16-Feb-20,22-Mar-20
10,9I 807,AAS,ATR 72,123456,,,IXC,8:30,28-Oct-19,30-Nov-19
11,9I 807,AAS,ATR 72,123456,,,IXC,8:30,2-Dec-19,15-Feb-20
12,9I 807,AAS,ATR 72,123456,,,IXC,8:30,17-Feb-20,28-Mar-20
13,9I 808,AAS,ATR 72,123456,IXC,10:25,,,28-Oct-19,30-Nov-19
14,9I 808,AAS,ATR 72,123456,IXC,10:25,,,2-Dec-19,15-Feb-20
15,9I 808,AAS,ATR 72,123456,IXC,10:25,,,17-Feb-20,28-Mar-20
16,9I 806,AAS,ATR 72,123456,,,DEL,10:50,28-Oct-19,30-Nov-19
17,9I 806,AAS,ATR 72,123456,,,DEL,10:50,2-Dec-19,15-Feb-20
18,9I 806,AAS,ATR 72,123456,,,DEL,10:50,17-Feb-20,28-Mar-20
Lilabari,,,,,,,,,,
1,9I 751,AAS,ATR 72,6,CCU,14:55,,,2-Nov-19,21-Mar-20
2,9I 752,AAS,ATR 72,6,,,CCU,15:20,2-Nov-19,21-Mar-20
3,9I 751,AAS,ATR 72,123457,CCU,16:10,,,28-Oct-19,27-Mar-20
4,9I 752,AAS,ATR 72,123457,,,CCU,16:35,28-Oct-19,27-Mar-20
Lucknow,,,,,,,,,,
1,9I 605,AAS,ATR 72,Daily,DEL,21:15,,,27-Oct-19,28-Mar-20
2,9I 606,AAS,ATR 72,Daily,,,DEL,21:40,27-Oct-19,28-Mar-20
Ludhiana,,,,,,,,,,
1,9I 837,AAS,ATR 72,1246,DEL,14:40,,,28-Oct-19,28-Mar-20
2,9I 838,AAS,ATR 72,1246,,,DEL,15:05,28-Oct-19,28-Mar-20
Madurai,,,,,,,,,,
1,9I 559,AAS,ATR 72,Daily,MAA,11:20,,,27-Oct-19,28-Mar-20
2,9I 560,AAS,ATR 72,Daily,,,MAA,11:40,27-Oct-19,28-Mar-20
3,9I 551,AAS,ATR 72,Daily,MAA,18:15,,,27-Oct-19,28-Mar-20
4,9I 552,AAS,ATR 72,Daily,,,MAA,18:40,27-Oct-19,28-Mar-20
Mumbai,,,,,,,,,,
1,9I 625,AAS,ATR 72,Daily,,,BHJ,6:35,28-Oct-19,26-Mar-20
2,9I 626,AAS,ATR 72,1246,BHJ,11:05,,,28-Oct-19,26-Mar-20
3,9I 626,AAS,ATR 72,357,BHJ,11:05,,,30-Oct-19,25-Mar-20
4,9I 623,AAS,ATR 72,357,,,DIU,12:00,27-Oct-19,25-Mar-20
5,9I 623,AAS,ATR 72,1246,,,DIU,12:00,28-Oct-19,26-Mar-20
6,9I 624,AAS,ATR 72,357,DIU,14:35,,,27-Oct-19,25-Mar-20
7,9I 624,AAS,ATR 72,1246,DIU,14:35,,,28-Oct-19,26-Mar-20
8,9I 653,AAS,ATR 72,1246,,,SAG,15:20,28-Oct-19,26-Mar-20
9,9I 653,AAS,ATR 72,357,,,SAG,15:20,30-Oct-19,25-Mar-20
10,9I 654,AAS,ATR 72,357,SAG,17:25,,,27-Oct-19,25-Mar-20
11,9I 654,AAS,ATR 72,1246,SAG,17:25,,,28-Oct-19,26-Mar-20
12,9I 651,AAS,ATR 72,357,,,BHU,17:55,27-Oct-19,25-Mar-20
13,9I 651,AAS,ATR 72,1246,,,BHU,17:55,28-Oct-19,26-Mar-20
14,9I 652,AAS,ATR 72,Daily,BHU,21:05,,,28-Oct-19,27-Mar-20
Mysore,,,,,,,,,,
1,9I 891,AAS,ATR 72,134567,HYD,8:00,,,27-Oct-19,28-Mar-20
2,9I 893,AAS,ATR 72,134567,,,COK,8:30,27-Oct-19,28-Mar-20
3,9I 891,AAS,ATR 72,2,HYD,10:00,,,29-Oct-19,24-Mar-20
4,9I 893,AAS,ATR 72,2,,,COK,10:25,29-Oct-19,24-Mar-20
5,9I 894,AAS,ATR 72,134567,COK,11:45,,,27-Oct-19,28-Mar-20
6,9I 897,AAS,ATR 72,134567,,,BLR,12:10,27-Oct-19,28-Mar-20
7,9I 894,AAS,ATR 72,2,COK,13:50,,,29-Oct-19,24-Mar-20
8,9I 897,AAS,ATR 72,2,,,BLR,14:15,29-Oct-19,24-Mar-20
9,9I 898,AAS,ATR 72,134567,BLR,14:50,,,27-Oct-19,28-Mar-20
10,9I 895,AAS,ATR 72,134567,,,GOI,15:20,27-Oct-19,28-Mar-20
11,9I 898,AAS,ATR 72,2,BLR,16:40,,,29-Oct-19,24-Mar-20
12,9I 895,AAS,ATR 72,2,,,GOI,17:05,29-Oct-19,24-Mar-20
13,9I 896,AAS,ATR 72,134567,GOI,18:50,,,27-Oct-19,28-Mar-20
14,9I 892,AAS,ATR 72,134567,,,HYD,19:20,27-Oct-19,28-Mar-20
15,9I 896,AAS,ATR 72,2,GOI,20:30,,,29-Oct-19,24-Mar-20
16,9I 892,AAS,ATR 72,2,,,HYD,20:55,29-Oct-19,24-Mar-20
Nasik,,,,,,,,,,
1,9I 871,AAS,ATR 72,12345,HYD,8:00,,,27-Oct-19,28-Mar-20
2,9I 883,AAS,ATR 72,6,HYD,8:00,,,27-Oct-19,28-Mar-20
3,9I 873,AAS,ATR 72,12345,,,AMD,8:20,27-Oct-19,28-Mar-20
4,9I 887,AAS,ATR 72,6,,,PNQ,8:30,27-Oct-19,28-Mar-20
5,9I 883,AAS,ATR 72,7,HYD,9:35,,,27-Oct-19,28-Mar-20
6,9I 887,AAS,ATR 72,7,,,PNQ,10:00,27-Oct-19,28-Mar-20
7,9I 888,AAS,ATR 72,6,PNQ,11:00,,,27-Oct-19,28-Mar-20
8,9I 884,AAS,ATR 72,6,,,HYD,11:25,27-Oct-19,28-Mar-20
9,9I 873,AAS,ATR 72,6,,,AMD,11:30,27-Oct-19,28-Mar-20
10,9I 888,AAS,ATR 72,7,PNQ,12:30,,,27-Oct-19,28-Mar-20
11,9I 884,AAS,ATR 72,7,,,HYD,12:55,27-Oct-19,28-Mar-20
12,9I 874,AAS,ATR 72,12345,AMD,14:25,,,27-Oct-19,28-Mar-20
13,9I 874,AAS,ATR 72,6,AMD,14:30,,,27-Oct-19,28-Mar-20
14,9I 887,AAS,ATR 72,12345,,,PNQ,14:55,27-Oct-19,28-Mar-20
15,9I 888,AAS,ATR 72,12345,PNQ,17:20,,,27-Oct-19,28-Mar-20
16,9I 872,AAS,ATR 72,12345,,,HYD,17:45,27-Oct-19,28-Mar-20
Pantnagar,,,,,,,,,,
1,9I 815,AAS,ATR 42,3567,DEL,12:30,,,27-Oct-19,28-Mar-20
2,9I 823,AAS,ATR 42,3567,,,DED,12:50,27-Oct-19,28-Mar-20
3,9I 824,AAS,ATR 42,3567,DED,14:50,,,27-Oct-19,28-Mar-20
4,9I 816,AAS,ATR 42,3567,,,DEL,15:10,27-Oct-19,28-Mar-20
Pasighat,,,,,,,,,,
1,9I 733,AAS,ATR 72,1235,GAU,9:25,,,28-Oct-19,27-Mar-20
2,9I 733,AAS,ATR 72,1235,,,IXI,9:50,28-Oct-19,27-Mar-20
Pathankot,,,,,,,,,,
1,9I 835,AAS,ATR 42,124,DEL,13:10,,,28-Oct-19,26-Mar-20
2,9I 836,AAS,ATR 42,124,,,DEL,13:30,28-Oct-19,26-Mar-20
Pune,,,,,,,,,,
1,9I 887,AAS,ATR 72,6,ISK,9:30,,,2-Nov-19,21-Mar-20
2,9I 888,AAS,ATR 72,6,,,ISK,10:00,2-Nov-19,21-Mar-20
3,9I 887,AAS,ATR 72,7,ISK,11:00,,,3-Nov-19,22-Mar-20
4,9I 561,AAS,ATR 72,123457,HYD,11:15,,,27-Oct-19,27-Mar-20
5,9I 888,AAS,ATR 72,7,,,ISK,11:30,3-Nov-19,22-Mar-20
6,9I 561,AAS,ATR 72,123457,,,GOI,11:40,27-Oct-19,27-Mar-20
7,9I 562,AAS,ATR 72,123457,GOI,14:45,,,27-Oct-19,27-Mar-20
8,9I 562,AAS,ATR 72,123457,,,HYD,15:15,27-Oct-19,27-Mar-20
9,9I 887,AAS,ATR 72,12345,ISK,15:45,,,28-Oct-19,27-Mar-20
10,9I 888,AAS,ATR 72,12345,,,ISK,16:20,28-Oct-19,27-Mar-20
11,9I 513,AAS,ATR 72,134567,IXG,17:20,,,27-Oct-19,28-Mar-20
12,9I 514,AAS,ATR 72,134567,,,IXG,17:45,27-Oct-19,28-Mar-20
13,9I 513,AAS,ATR 72,2,IXG,18:50,,,29-Oct-19,24-Mar-20
14,9I 514,AAS,ATR 72,2,,,IXG,19:15,29-Oct-19,24-Mar-20
15,9I 867,AAS,ATR 72,134567,HYD,20:30,,,27-Oct-19,28-Mar-20
16,9I 868,AAS,ATR 72,134567,,,HYD,21:05,27-Oct-19,28-Mar-20
17,9I 867,AAS,ATR 72,2,HYD,21:25,,,29-Oct-19,24-Mar-20
18,9I 868,AAS,ATR 72,2,,,HYD,21:50,29-Oct-19,24-Mar-20
Raipur,,,,,,,,,,
1,9I 683,AAS,ATR 72,Daily,BHO,9:30,,,27-Oct-19,28-Mar-20
2,9I 886,AAS,ATR 72,Daily,,,JGB,10:00,16-Nov-19,28-Mar-20
3,9I 720,AAS,ATR 72,Daily,IXR,15:20,,,27-Oct-19,28-Mar-20
4,9I 720,AAS,ATR 72,Daily,,,JRG,15:45,27-Oct-19,28-Mar-20
5,9I 885,AAS,ATR 72,Daily,JGB,16:25,,,16-Nov-19,28-Mar-20
6,9I 684,AAS,ATR 72,Daily,,,BHO,16:55,27-Oct-19,28-Mar-20
7,9I 728,AAS,ATR 72,Daily,JRG,18:10,,,27-Oct-19,28-Mar-20
8,9I 728,AAS,ATR 72,Daily,,,IXR,18:30,27-Oct-19,28-Mar-20
Ranchi,,,,,,,,,,
1,9I 727,AAS,ATR 72,Daily,CCU,7:20,,,27-Oct-19,28-Mar-20
2,9I 727,AAS,ATR 72,Daily,,,BBI,7:45,27-Oct-19,28-Mar-20
3,9I 719,AAS,ATR 72,Daily,BBI,13:25,,,27-Oct-19,28-Mar-20
4,9I 720,AAS,ATR 72,Daily,,,RPR,13:45,27-Oct-19,28-Mar-20
5,9I 728,AAS,ATR 72,Daily,RPR,19:50,,,27-Oct-19,28-Mar-20
6,9I 728,AAS,ATR 72,Daily,,,CCU,20:10,27-Oct-19,28-Mar-20
Simla,,,,,,,,,,
1,9I 803,AAS,ATR 42,Daily,DEL,8:55,,,27-Oct-19,28-Mar-20
2,9I 804,AAS,ATR 42,Daily,,,DEL,9:15,27-Oct-19,28-Mar-20
Shirdi,,,,,,,,,,
1,9I 653,AAS,ATR 72,Daily,BOM,16:10,,,27-Oct-19,28-Mar-20
2,9I 654,AAS,ATR 72,Daily,,,BOM,16:35,27-Oct-19,28-Mar-20
Tezpur,,,,,,,,,,
1,9I 731,AAS,ATR 72,467,GAU,8:40,,,27-Oct-19,28-Mar-20
2,9I 732,AAS,ATR 72,467,,,GAU,9:00,27-Oct-19,28-Mar-20
Tiruchirapally,,,,,,,,,,
1,9I 555,AAS,ATR 72,Daily,MAA,14:40,,,27-Oct-19,28-Mar-20
2,9I 556,AAS,ATR 72,Daily,,,MAA,15:05,27-Oct-19,28-Mar-20
Udaipur,,,,,,,,,,
1,9I 685,AAS,ATR 72,357,JAI,8:35,,,27-Oct-19,27-Mar-20
2,9I 686,AAS,ATR 72,357,,,JAI,9:00,27-Oct-19,27-Mar-20
Varanasi,,,,,,,,,,
1,9I 721,AAS,ATR 72,Daily,BBI,14:20,,,27-Oct-19,28-Mar-20
2,9I 722,AAS,ATR 72,Daily,,,BBI,14:50,27-Oct-19,28-Mar-20
Vijaywada,,,,,,,,,,
1,9I 538,AAS,ATR 72,Daily,HYD,18:30,,,27-Oct-19,28-Mar-20
2,9I 538,AAS,ATR 72,Daily,,,VTZ,18:55,27-Oct-19,28-Mar-20
3,9I 537,AAS,ATR 72,Daily,VTZ,21:20,,,27-Oct-19,28-Mar-20
4,9I 537,AAS,ATR 72,Daily,,,HYD,21:45,27-Oct-19,28-Mar-20
Vizag,,,,,,,,,,
1,9I 538,AAS,ATR 72,Daily,VGA,19:50,,,27-Oct-19,28-Mar-20
2,9I 537,AAS,ATR 72,Daily,,,VGA,20:20,27-Oct-19,28-Mar-20
