Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
48,UK 741,UK,A 320,Daily,,,GAU,9:40,27-Oct-2019,28-Mar-2020
49,UK 832,UK,A 320,Daily,MAA,9:55,,,27-Oct-2019,28-Mar-2020
50,UK 668,UK,A 320,Daily,IXC,10:00,,,27-Oct-2019,28-Mar-2020
51,UK 787,UK,A 320,Daily,,,BBI,10:20,27-Oct-2019,28-Mar-2020
52,UK 995,UK,A 320,7,,,BOM,10:20,27-Oct-2019,22-Mar-2020
53,UK 995,UK,A 320,6,,,BOM,10:20,02-Nov-2019,28-Mar-2020
54,UK 995,UK,A 320,12345,,,BOM,10:20,28-Oct-2019,27-Mar-2020
55,UK 914,UK,A 320,Daily,IDR,10:25,,,27-Oct-2019,28-Mar-2020
56,UK 946,UK,A 320,Daily,AMD,10:25,,,27-Oct-2019,28-Mar-2020
57,UK 971,UK,A 320,123457,,,PNQ,10:25,27-Oct-2019,27-Mar-2020
58,UK 602,UK,A 320,7,IXL,10:30,,,27-Oct-2019,27-Oct-2019
59,UK 602,UK,A 320,7,IXL,10:30,,,03-Nov-2019,22-Mar-2020
60,UK 602,UK,A 320,3,IXL,10:30,,,30-Oct-2019,25-Mar-2020
61,UK 642,UK,A 320,124567,LKO,10:30,,,27-Oct-2019,28-Mar-2020
62,UK 611,UK,A 320,Daily,,,SXR,10:35,27-Oct-2019,28-Mar-2020
63,UK 631,UK,A 320,Daily,,,VNS,10:45,27-Oct-2019,28-Mar-2020
64,UK 794,UK,A 320,7,RPR,10:50,,,27-Oct-2019,22-Mar-2020
65,UK 794,UK,A 320,123456,RPR,10:50,,,28-Oct-2019,28-Mar-2020
66,UK 855,UK,A 320,6,,,GOI,10:50,02-Nov-2019,28-Mar-2020
67,UK 970,UK,A 320,123456,BOM,11:00,,,28-Oct-2019,28-Mar-2020
68,UK 752,UK,A 320,Daily,IXR,11:05,,,27-Oct-2019,28-Mar-2020
69,UK 847,UK,A 320,3,,,GOI,11:10,30-Oct-2019,25-Mar-2020
70,UK 847,UK,A 320,124567,,,GOI,11:10,27-Oct-2019,28-Mar-2020
71,UK 945,UK,A 320,7,,,BOM,11:40,27-Oct-2019,22-Mar-2020
72,UK 945,UK,A 320,123456,,,BOM,11:40,28-Oct-2019,28-Mar-2020
73,UK 786,UK,A 320,Daily,BBI,12:05,,,27-Oct-2019,28-Mar-2020
74,UK 830,UK,A 320,Daily,HYD,12:30,,,27-Oct-2019,28-Mar-2020
75,UK 976,UK,A 320,123456,AMD,12:35,,,28-Oct-2019,28-Mar-2020
76,UK 812,UK,B 738,Daily,BLR,12:40,,,27-Oct-2019,28-Mar-2020
77,UK 994,UK,A 320,Daily,BOM,12:40,,,27-Oct-2019,28-Mar-2020
78,UK 993,UK,A 320,Daily,,,BOM,12:50,27-Oct-2019,28-Mar-2020
79,UK 856,UK,A 320,7,GOI,12:55,,,27-Oct-2019,22-Mar-2020
80,UK 884,UK,A 320,Daily,COK,12:55,,,27-Oct-2019,28-Mar-2020
81,UK 627,UK,A 320,Daily,,,UDR,13:00,27-Oct-2019,28-Mar-2020
82,UK 812,UK,B 738,Daily,,,VNS,13:20,27-Oct-2019,28-Mar-2020
83,UK 706,UK,A 320,Daily,,,IXC,13:40,27-Oct-2019,28-Mar-2020
84,UK 830,UK,A 320,Daily,,,LKO,13:40,27-Oct-2019,28-Mar-2020
85,UK 976,UK,A 320,7,,,ATQ,13:40,27-Oct-2019,22-Mar-2020
86,UK 976,UK,A 320,123456,,,ATQ,13:40,28-Oct-2019,28-Mar-2020
87,UK 683,UK,A 320,Daily,,,JDH,13:50,27-Oct-2019,28-Mar-2020
88,UK 960,UK,A 320,Daily,BOM,14:05,,,27-Oct-2019,28-Mar-2020
89,UK 816,UK,B 738,Daily,BLR,14:10,,,27-Oct-2019,28-Mar-2020
90,UK 898,UK,A 320,Daily,TRV,14:25,,,27-Oct-2019,28-Mar-2020
91,UK 899,UK,A 320,Daily,,,HYD,14:45,27-Oct-2019,28-Mar-2020
92,UK 721,UK,A 320,Daily,,,GAU,15:05,27-Oct-2019,28-Mar-2020
93,UK 632,UK,A 320,Daily,VNS,15:20,,,27-Oct-2019,28-Mar-2020
94,UK 788,UK,A 320,Daily,BBI,15:25,,,27-Oct-2019,28-Mar-2020
95,UK 972,UK,A 320,123457,PNQ,15:25,,,27-Oct-2019,27-Mar-2020
96,UK 933,UK,A 320,Daily,,,BOM,15:30,27-Oct-2019,28-Mar-2020
97,UK 742,UK,A 320,Daily,GAU,15:35,,,27-Oct-2019,28-Mar-2020
98,UK 885,UK,B 738,Daily,,,COK,16:00,27-Oct-2019,28-Mar-2020
99,UK 817,UK,B 738,Daily,,,BLR,16:05,27-Oct-2019,28-Mar-2020
100,UK 972,UK,A 320,6,,,LKO,16:05,02-Nov-2019,28-Mar-2020
101,UK 972,UK,A 320,123457,,,LKO,16:05,27-Oct-2019,27-Mar-2020
102,UK 671,UK,A 320,Daily,,,VNS,16:15,27-Oct-2019,28-Mar-2020
103,UK 726,UK,A 320,Daily,IXB,16:25,,,27-Oct-2019,28-Mar-2020
104,UK 707,UK,A 320,Daily,IXC,16:30,,,27-Oct-2019,28-Mar-2020
105,UK 879,UK,A 320,Daily,LKO,16:35,,,27-Oct-2019,28-Mar-2020
106,UK 997,UK,A 320,Daily,ATQ,16:40,,,27-Oct-2019,28-Mar-2020
107,UK 628,UK,A 320,Daily,UDR,16:45,,,27-Oct-2019,28-Mar-2020
108,UK 813,UK,B 738,Daily,VNS,16:50,,,27-Oct-2019,28-Mar-2020
109,UK 612,UK,A 320,Daily,SXR,16:55,,,27-Oct-2019,28-Mar-2020
110,UK 682,UK,A 320,Daily,JDH,16:55,,,27-Oct-2019,28-Mar-2020
111,UK 944,UK,A 320,7,BOM,16:55,,,27-Oct-2019,22-Mar-2020
112,UK 944,UK,A 320,123456,BOM,16:55,,,28-Oct-2019,28-Mar-2020
113,UK 856,UK,A 320,6,GOI,17:00,,,02-Nov-2019,28-Mar-2020
114,UK 941,UK,A 320,7,,,BOM,17:00,27-Oct-2019,27-Oct-2019
115,UK 941,UK,A 320,7,,,BOM,17:00,03-Nov-2019,22-Mar-2020
116,UK 941,UK,A 320,123456,,,BOM,17:00,28-Oct-2019,28-Mar-2020
117,UK 848,UK,A 320,Daily,GOI,17:05,,,27-Oct-2019,28-Mar-2020
118,UK 637,UK,A 320,Daily,,,IXC,17:10,27-Oct-2019,28-Mar-2020
119,UK 707,UK,A 320,Daily,,,CCU,17:30,27-Oct-2019,28-Mar-2020
120,UK 813,UK,B 738,Daily,,,BLR,17:35,27-Oct-2019,28-Mar-2020
121,UK 879,UK,A 320,Daily,,,HYD,17:35,27-Oct-2019,28-Mar-2020
122,UK 997,UK,A 320,Daily,,,PNQ,17:35,27-Oct-2019,28-Mar-2020
123,UK 753,UK,A 320,Daily,,,IXR,17:40,27-Oct-2019,28-Mar-2020
124,UK 778,UK,A 320,Daily,CCU,17:45,,,27-Oct-2019,28-Mar-2020
125,UK 955,UK,A 320,Daily,,,BOM,17:45,27-Oct-2019,28-Mar-2020
126,UK 781,UK,A 320,7,,,BBI,17:50,27-Oct-2019,22-Mar-2020
127,UK 781,UK,A 320,123456,,,BBI,17:50,28-Oct-2019,28-Mar-2020
128,UK 797,UK,A 320,Daily,,,RPR,18:00,27-Oct-2019,28-Mar-2020
129,UK 969,UK,A 320,Daily,,,AMD,18:00,27-Oct-2019,28-Mar-2020
130,UK 902,UK,A 320,Daily,BOM,18:05,,,27-Oct-2019,28-Mar-2020
131,UK 715,UK,A 320,Daily,,,PAT,18:15,27-Oct-2019,28-Mar-2020
132,UK 977,UK,A 320,Daily,,,BOM,18:55,27-Oct-2019,28-Mar-2020
133,UK 835,UK,A 320,Daily,LKO,19:05,,,27-Oct-2019,28-Mar-2020
134,UK 910,UK,A 320,Daily,BOM,19:10,,,27-Oct-2019,28-Mar-2020
135,UK 695,UK,A 320,Daily,,,ATQ,19:30,27-Oct-2019,28-Mar-2020
136,UK 867,UK,A 320,Daily,,,GOI,19:30,27-Oct-2019,28-Mar-2020
137,UK 672,UK,A 320,Daily,VNS,19:50,,,27-Oct-2019,28-Mar-2020
138,UK 985,UK,A 320,Daily,,,BOM,19:50,27-Oct-2019,28-Mar-2020
139,UK 890,UK,A 320,Daily,HYD,19:55,,,27-Oct-2019,28-Mar-2020
140,UK 835,UK,A 320,Daily,,,MAA,19:55,27-Oct-2019,28-Mar-2020
141,UK 834,UK,A 320,Daily,MAA,20:00,,,27-Oct-2019,28-Mar-2020
142,UK 638,UK,A 320,Daily,IXC,20:05,,,27-Oct-2019,28-Mar-2020
143,UK 727,UK,A 320,Daily,,,CCU,20:30,27-Oct-2019,28-Mar-2020
144,UK 871,UK,A 320,Daily,,,HYD,20:35,27-Oct-2019,28-Mar-2020
145,UK 996,UK,A 320,6,BOM,20:40,,,28-Mar-2020,28-Mar-2020
146,UK 996,UK,A 320,Daily,BOM,20:40,,,27-Oct-2019,27-Mar-2020
147,UK 821,UK,A 320,Daily,,,BLR,20:40,27-Oct-2019,28-Mar-2020
148,UK 953,UK,A 320,Daily,,,BOM,20:40,27-Oct-2019,28-Mar-2020
149,UK 722,UK,A 320,Daily,GAU,21:00,,,27-Oct-2019,28-Mar-2020
150,UK 981,UK,A 320,Daily,,,BOM,21:40,27-Oct-2019,28-Mar-2020
151,UK 940,UK,A 320,6,BOM,21:55,,,02-Nov-2019,21-Mar-2020
152,UK 940,UK,A 320,6,BOM,21:55,,,28-Mar-2020,28-Mar-2020
153,UK 940,UK,A 320,123457,BOM,21:55,,,27-Oct-2019,27-Mar-2020
154,UK 798,UK,A 320,Daily,RPR,22:00,,,27-Oct-2019,28-Mar-2020
155,UK 966,UK,A 320,6,AMD,22:00,,,28-Mar-2020,28-Mar-2020
156,UK 966,UK,A 320,2,AMD,22:00,,,29-Oct-2019,24-Mar-2020
157,UK 966,UK,A 320,134567,AMD,22:00,,,27-Oct-2019,27-Mar-2020
158,UK 754,UK,A 320,Daily,IXR,22:10,,,27-Oct-2019,28-Mar-2020
159,UK 716,UK,A 320,Daily,PAT,22:15,,,27-Oct-2019,28-Mar-2020
160,UK 694,UK,A 320,6,ATQ,22:25,,,28-Mar-2020,28-Mar-2020
161,UK 694,UK,A 320,Daily,ATQ,22:25,,,27-Oct-2019,27-Mar-2020
162,UK 818,UK,B 738,6,BLR,22:25,,,28-Mar-2020,28-Mar-2020
163,UK 818,UK,B 738,Daily,BLR,22:25,,,27-Oct-2019,27-Mar-2020
164,UK 992,UK,A 320,Daily,PNQ,22:25,,,27-Oct-2019,28-Mar-2020
165,UK 870,UK,A 320,6,HYD,22:40,,,28-Mar-2020,28-Mar-2020
166,UK 870,UK,A 320,Daily,HYD,22:40,,,27-Oct-2019,27-Mar-2020
167,UK 708,UK,A 320,Daily,CCU,22:45,,,27-Oct-2019,28-Mar-2020
168,UK 782,UK,A 320,6,BBI,22:55,,,28-Mar-2020,28-Mar-2020
169,UK 782,UK,A 320,Daily,BBI,22:55,,,27-Oct-2019,27-Mar-2020
170,UK 886,UK,B 738,Daily,COK,22:55,,,27-Oct-2019,28-Mar-2020
171,UK 988,UK,A 320,56,BOM,23:00,,,01-Nov-2019,28-Mar-2020
172,UK 988,UK,A 320,12347,BOM,23:00,,,27-Oct-2019,26-Mar-2020
173,UK 814,UK,B 738,6,BLR,23:45,,,28-Mar-2020,28-Mar-2020
174,UK 814,UK,B 738,Daily,BLR,23:45,,,27-Oct-2019,27-Mar-2020
Dibrugarh,,,,,,,,,,
1,UK 725,UK,A 320,Daily,IXB,11:40,,,27-Oct-2019,28-Mar-2020
2,UK 726,UK,A 320,Daily,,,IXB,12:15,27-Oct-2019,28-Mar-2020
Goa,,,,,,,,,,
1,UK 844,UK,B 738,7,,,BOM,0:45,27-Oct-2019,27-Oct-2019
2,UK 844,UK,B 738,Daily,,,BOM,0:45,28-Oct-2019,28-Mar-2020
3,UK 861,UK,A 320,6,BOM,5:40,,,02-Nov-2019,28-Mar-2020
4,UK 994,UK,A 320,6,,,BOM,6:15,02-Nov-2019,28-Mar-2020
5,UK 861,UK,A 320,7,BOM,8:05,,,27-Oct-2019,22-Mar-2020
6,UK 862,UK,A 320,7,,,BOM,8:40,27-Oct-2019,22-Mar-2020
7,UK 855,UK,A 320,7,DEL,9:45,,,27-Oct-2019,22-Mar-2020
8,UK 856,UK,A 320,7,,,DEL,10:20,27-Oct-2019,22-Mar-2020
9,UK 841,UK,A 320,Daily,BOM,12:45,,,27-Oct-2019,28-Mar-2020
10,UK 842,UK,A 320,Daily,,,BOM,13:20,27-Oct-2019,28-Mar-2020
11,UK 855,UK,A 320,6,DEL,13:30,,,02-Nov-2019,28-Mar-2020
12,UK 847,UK,A 320,Daily,DEL,13:55,,,27-Oct-2019,28-Mar-2020
13,UK 856,UK,A 320,6,,,DEL,14:05,02-Nov-2019,28-Mar-2020
14,UK 848,UK,A 320,Daily,,,DEL,14:30,27-Oct-2019,28-Mar-2020
15,UK 867,UK,A 320,Daily,DEL,21:55,,,27-Oct-2019,28-Mar-2020
16,UK 868,UK,A 320,Daily,,,DEL,22:30,27-Oct-2019,28-Mar-2020
17,UK 843,UK,B 738,6,BOM,23:55,,,28-Mar-2020,28-Mar-2020
18,UK 843,UK,B 738,Daily,BOM,23:55,,,27-Oct-2019,27-Mar-2020
Guwahati,,,,,,,,,,
1,UK 741,UK,A 320,Daily,DEL,11:55,,,27-Oct-2019,28-Mar-2020
2,UK 742,UK,A 320,Daily,,,DEL,12:40,27-Oct-2019,28-Mar-2020
3,UK 721,UK,A 320,Daily,DEL,17:30,,,27-Oct-2019,28-Mar-2020
4,UK 722,UK,A 320,Daily,,,DEL,18:05,27-Oct-2019,28-Mar-2020
Hyderabad,,,,,,,,,,
1,UK 860,UK,A 320,7,,,DEL,6:45,27-Oct-2019,27-Oct-2019
2,UK 860,UK,A 320,Daily,,,DEL,6:45,28-Oct-2019,28-Mar-2020
3,UK 873,UK,B 738,134567,BOM,7:35,,,27-Oct-2019,28-Mar-2020
4,UK 873,UK,B 738,2,BOM,7:45,,,29-Oct-2019,24-Mar-2020
5,UK 874,UK,B 738,134567,,,BOM,8:15,27-Oct-2019,28-Mar-2020
6,UK 874,UK,B 738,2,,,BOM,8:20,29-Oct-2019,24-Mar-2020
7,UK 829,UK,A 320,Daily,DEL,9:25,,,27-Oct-2019,28-Mar-2020
8,UK 830,UK,A 320,Daily,,,DEL,10:05,27-Oct-2019,28-Mar-2020
9,UK 899,UK,A 320,Daily,DEL,17:00,,,27-Oct-2019,28-Mar-2020
10,UK 890,UK,A 320,Daily,,,DEL,17:40,27-Oct-2019,28-Mar-2020
11,UK 879,UK,A 320,Daily,DEL,19:55,,,27-Oct-2019,28-Mar-2020
12,UK 870,UK,A 320,Daily,,,DEL,20:35,27-Oct-2019,28-Mar-2020
13,UK 875,UK,B 738,Daily,BOM,20:50,,,27-Oct-2019,28-Mar-2020
14,UK 876,UK,B 738,Daily,,,BOM,21:25,27-Oct-2019,28-Mar-2020
15,UK 871,UK,A 320,6,DEL,22:45,,,28-Mar-2020,28-Mar-2020
16,UK 871,UK,A 320,Daily,DEL,22:45,,,27-Oct-2019,27-Mar-2020
Indore,,,,,,,,,,
1,UK 913,UK,A 320,Daily,DEL,8:20,,,27-Oct-2019,28-Mar-2020
2,UK 914,UK,A 320,Daily,,,DEL,8:55,27-Oct-2019,28-Mar-2020
3,UK 911,UK,A 320,Daily,DEL,19:55,,,27-Oct-2019,28-Mar-2020
4,UK 912,UK,A 320,Daily,,,DEL,20:30,27-Oct-2019,28-Mar-2020
Jammu,,,,,,,,,,
1,UK 611,UK,A 320,Daily,SXR,13:20,,,27-Oct-2019,28-Mar-2020
2,UK 612,UK,A 320,Daily,,,SXR,14:00,27-Oct-2019,28-Mar-2020
3,UK 994,UK,A 320,Daily,DEL,14:55,,,27-Oct-2019,28-Mar-2020
4,UK 955,UK,A 320,Daily,,,DEL,15:30,27-Oct-2019,28-Mar-2020
Jodhpur,,,,,,,,,,
1,UK 683,UK,A 320,Daily,DEL,15:00,,,27-Oct-2019,28-Mar-2020
2,UK 682,UK,A 320,Daily,,,DEL,15:35,27-Oct-2019,28-Mar-2020
3,UK 655,UK,B 738,Daily,BOM,16:10,,,27-Oct-2019,28-Mar-2020
4,UK 656,UK,B 738,Daily,,,BOM,16:45,27-Oct-2019,28-Mar-2020
Khajuraho,,,,,,,,,,
1,UK 631,UK,A 320,Daily,VNS,13:45,,,05-Nov-2019,28-Mar-2020
2,UK 632,UK,A 320,Daily,,,VNS,14:20,05-Nov-2019,28-Mar-2020
Kochi,,,,,,,,,,
1,UK 883,UK,A 320,Daily,DEL,9:05,,,27-Oct-2019,28-Mar-2020
2,UK 884,UK,A 320,Daily,,,DEL,9:45,27-Oct-2019,28-Mar-2020
3,UK 885,UK,B 737,Daily,DEL,19:05,,,27-Oct-2019,28-Mar-2020
4,UK 886,UK,B 737,Daily,,,DEL,19:45,27-Oct-2019,28-Mar-2020
Kolkata,,,,,,,,,,
1,UK 720,UK,A 320,6,,,DEL,7:10,02-Nov-2019,28-Mar-2020
2,UK 720,UK,A 320,123457,,,DEL,7:10,27-Oct-2019,27-Mar-2020
3,UK 747,UK,A 320,Daily,DEL,8:30,,,27-Oct-2019,28-Mar-2020
4,UK 747,UK,A 320,Daily,,,IXZ,9:00,27-Oct-2019,28-Mar-2020
5,UK 705,UK,A 320,Daily,DEL,9:30,,,27-Oct-2019,28-Mar-2020
6,UK 771,UK,B 738,Daily,BOM,9:40,,,27-Oct-2019,28-Mar-2020
7,UK 706,UK,A 320,Daily,,,DEL,10:15,27-Oct-2019,28-Mar-2020
8,UK 772,UK,B 738,Daily,,,BOM,10:20,27-Oct-2019,28-Mar-2020
9,UK 757,UK,A 320,12456,BOM,11:25,,,15-Nov-2019,28-Mar-2020
10,UK 758,UK,A 320,12456,,,BOM,12:05,15-Nov-2019,28-Mar-2020
11,UK 778,UK,A 320,Daily,IXZ,14:30,,,27-Oct-2019,28-Mar-2020
12,UK 778,UK,A 320,Daily,,,DEL,15:20,27-Oct-2019,28-Mar-2020
13,UK 775,UK,A 320,Daily,BOM,16:50,,,27-Oct-2019,28-Mar-2020
14,UK 764,UK,A 320,Daily,IXZ,16:55,,,10-Nov-2019,28-Mar-2020
15,UK 776,UK,A 320,Daily,,,BOM,17:25,27-Oct-2019,28-Mar-2020
16,UK 762,UK,A 320,Daily,,,DEL,17:50,10-Nov-2019,28-Mar-2020
17,UK 745,UK,A 320,Daily,DEL,18:35,,,15-Nov-2019,28-Mar-2020
18,UK 746,UK,A 320,Daily,,,DEL,19:10,15-Nov-2019,28-Mar-2020
19,UK 707,UK,A 320,Daily,DEL,19:50,,,27-Oct-2019,28-Mar-2020
20,UK 773,UK,B 738,Daily,BOM,20:15,,,27-Oct-2019,28-Mar-2020
21,UK 708,UK,A 320,Daily,,,DEL,20:20,27-Oct-2019,28-Mar-2020
22,UK 774,UK,B 738,Daily,,,BOM,20:55,27-Oct-2019,28-Mar-2020
23,UK 727,UK,A 320,Daily,DEL,22:45,,,27-Oct-2019,28-Mar-2020
Leh,,,,,,,,,,
1,UK 601,UK,A 320,37,DEL,8:40,,,27-Oct-2019,25-Mar-2020
2,UK 602,UK,A 320,37,,,DEL,9:10,27-Oct-2019,25-Mar-2020
Lucknow,,,,,,,,,,
1,UK 641,UK,A 320,124567,DEL,8:40,,,27-Oct-2019,28-Mar-2020
2,UK 642,UK,A 320,124567,,,DEL,9:15,27-Oct-2019,28-Mar-2020
3,UK 830,UK,A 320,Daily,DEL,14:50,,,27-Oct-2019,28-Mar-2020
4,UK 879,UK,A 320,Daily,,,DEL,15:25,27-Oct-2019,28-Mar-2020
5,UK 972,UK,A 320,123457,DEL,17:15,,,27-Oct-2019,27-Mar-2020
6,UK 972,UK,A 320,6,DEL,17:15,,,02-Nov-2019,28-Mar-2020
7,UK 835,UK,A 320,6,,,DEL,17:50,02-Nov-2019,28-Mar-2020
8,UK 835,UK,A 320,123457,,,DEL,17:50,27-Oct-2019,27-Mar-2020
Mumbai,,,,,,,,,,
1,UK 774,UK,B 738,Daily,CCU,0:00,,,27-Oct-2019,27-Mar-2020
2,UK 774,UK,B 738,6,CCU,0:00,,,28-Mar-2020,28-Mar-2020
3,UK 844,UK,B 738,Daily,DEL,0:55,,,27-Oct-2019,28-Mar-2020
4,UK 924,UK,B 738,Daily,,,DEL,3:05,27-Oct-2019,27-Mar-2020
5,UK 924,UK,B 738,7,,,DEL,3:05,27-Oct-2019,27-Oct-2019
